Feature,Block,House,House_rom,Room,Block-House,Level_ft,Period_cited_in_text,Est_start_year,Est_end_year,Level_context,Size_notes,Materials_notes,Text,Page_num,Notes_internal
Stair Tread,07,02,II,,#NAME?,,,,,," 3 ft. 11 ins. wide, and its seven treads which averaged 8.25 ins.in breadth by 8.5 ins.high",,"The passage-like vestibule 92, 93 was entered from the east by a doorway at the southern end of the lane 39. This entrance was, however, blocked up by a thin wall in the Late Ib Phase. The well-preserved stairway at the western end of this vestibule (93) was 3 ft. 11 ins. wide, and its seven treads which averaged 8• 25 ins.in breadth by  8-5ins.high were built of bricks measuring 9• 75X4- 25X
2-25 ins. (PI. XLVIII, a). Judging from its base-length, 25 ft. 10 ins., this stair- way must have been a considerable height ; allowing for a landing, 4-5 ft. square, at its eastern end, it would have risen at least 15 ft. Like most of the staircases at jVIohenjo-daro it was very solidly built, except at its eastern end (91) where there was a rubble filling. It appears that this staircase led to a separate self-contained flat above, which must have enjoyed absolute privacy. For after the closing of the doorway that existed for a time between the passage and room 89. the former led solely to the stairway, which could only be reached by traversing the whole length ofthepassage. Thelane,moreover,fromwhichthepassagewasenteredwas, in its latter days at any rate, a cul-de-sac. Room 29 and the stairway in the pas- sage 92, 93 were probably built at the latter end of the Late III Phase.
",83,no depth level info -- remove from sheet?  [also another similar paragraph later same page that discusses  probable stairway height but no base level info]
Foundation,07,03,III,,#NAME?,-7.7,Late II,2200,2299,Average,,burnt  brick,"Mlost of the walls of Houses III and IV rested either on rubble foundations or, as was particularly noticeable in House III, upon small nodules of burnt brick which seem to have been the refuse of a kiln. This latter foundation material has been noticed in other parts of l\fohenjo-daro, and as it was apparently au innovation in the Late Period, it ,vill perhaps assist us later in correlating the levels of the buildings in the various areas. The average base ]eve] of this foundation layer is - 7·7 ft. ",85,
Foundation,07,03,III,"41, 44, 48 ",#NAME?,-6.1,Late Ib,,,,,,"This building was of Late lb date, for the foundations of its thin walls ·were only 6 · I ft. below datum. In the thin wall between rooms 48 and 41 were t-wo niches, 8 ins. deep. At the ,vestern end of 41, two t,reads alone remained of a very substantial stairway, 2 ft. 3 ins. wide. There was apparently no doorway into chamber 40, and it was possibly filled up with rubble and used as a platform to support one of a series of npper rooms to which .access was afforded by the stairway. ",85,
Niche,07,04,IV,72,#NAME?,-13.9,Intermediate I OR Intermediate II,,,Average,"2 ft. 9 ins. wide by 1 ft. 2 ins. deep,",,"House IV which was fairly complete was again self-contained and followed veiy much the same plan as in the previous period. Though the sills of a row' of three niches, 2 ft. 9 ins. wide by 1 ft. 2 ins. deep, in the northern w'all of the large room 72 were an average of 13 -9 ft. below datum, it is uncertain whether they should appear in the Intermediate I plan or that of the Intermediate II Phase. It depends upon whether their sills were at pavement level or above it when made.",81,
Doorsill,07,04,IV,,#NAME?,-21.7,Intermediate III,2600,2699,General Measure,,,"The badly ruined house (IV) which was entered from Long Lane was less substantially built. It appears to be of slightlv earlier date than Houses V and VII, as the door sills were some 21-7ft. below datum. ",79,
Pavement,07,05,V,,#NAME?,-13.6,Intermediate I,2400,2499,Exact Measure,"bricks 10.4
X 5.35  x 2 ins.",unusually fine pavement of two courses of bricks,"Against the eastern part of the southern wall of this well-room at the level — 13.6 ft. were the remains of an unusually fine pavement of two courses of bricks 10.4 X  5.35 x 2 ins. in size, laid on a 3 ft. 4 ins. thick layer of kiln-refiise, which in turn rested on a stratum of ash about half an inch thick. This pavement was care- fully bordered with bricks set on their shorter edges so as to project 5.5 ins. above the floor level. I do not think that this thick layer of pottery kiln-refuse was intended to drain the room. ; itwasmerelyusedasaconvenientfillingwhichwould not be liable to settle. Similar material was quite frequently used for the founda-tions of walls, especially in the Late Period.",81,"""well room"" of House V -- check on maps to determine which room num to enter here"
Stair Tread,07,05,V,,#NAME?,-14.5,Intermediate I,2400,2499,Exact Measure (Lowest),"staircase, 3 ft. 6 ins. wide, rising to the west, with treads 9.25 ins. broad by 8 ins. high",,"The wide doorway of Intermediate II date on the northern side of the w ell- room in House V was entirely occluded in this period by a staircase, 3 ft. 6 ins. wide, rising to the west, with treads 9.25 ins. broad by 8 ins. high.^ The entrance to the well-room at this time was probably from the west though that wall was badly damaged and the actual position of the door could not be ascertained. ",81,"""well room"" of House V -- check on maps to determine which room num to enter here"
Doorsill,07,05,V,,#NAME?,-18.9,Intermediate III,2600,2699,General Measure,,,"The sill of the enhance to the Western room (54) is^  20-8 ft below datum, whereas the sills of the eastern entrances were  1 8 • 9 ft. below datum.",78,"""eastern entrances"""
Doorsill,07,05,V,54,#NAME?,-20.8,Intermediate III,2600,2699,General Measure,,,"The sill of the enhance to the Western room (54) is^  20-8 ft below datum, whereas the sills of the eastern entrances were  1 8 • 9 ft. below datum.",78,"""western entrance"""
Doorsill,07,05,V,,#NAME?,-21.1,Intermediate III,2600,2699,General Measure,,,An important house (V) with two entrances from Low Lane.' ,78,Low Lane entrance
Doorsill,07,05,V,52 - 54,#NAME?,-5,Late Ib,,,Average,,,"The western portion of House V was fairly well preserved. It seems originally to have shared the whole of the large court 52-4 with House VIII; but later a portion was partitioned off for the exclusive use of Honse Y by a thin wall which stood 1 ft. 3 ins. high when cleared, whose foundations show it to have been bnilt in the Late lb Phase. The sills of the doorways in this wall average 5 ft. below datum. ",85,
Pavement,07,05,V,"64, 65, 67",#NAME?,-5.8,Late Ib,,,General Measure,,,"The ablution pavement in room 64, 65, 67 sloped to the north, where it was about 5·8 ft. below datum, and it was bordered all round with bricks set on edge to project about 2 · 5 ins. above the pavement. The southern end of the pavement was nearly 6 ins. above the leYel of the northern end and formed a square platform on which the bather probably dried himself. The thin walls that cut off the N. ,v. corner of this bathroom were only a few inches high and judging from their well-preserved copings were never any higher. Perhaps the water­jars were stored in this corner. ",,
Doorsill,07,06,VI,57,#NAME?,-12.5,Intermediate I,2400,2499,Exact Measure,,,"House VII now had its own courtyard (55, 58) which was later tilled in with mud-brick to make a platform above the reach of floods. The inner faces of the enclosure-wallswereveryrough. The same entrance into room 56 served again, its sill being raised the necessary amount ; but another entrance was made into the adjoining room (57) with its sill 12*5 ft. below datum.",82,
Doorsill,07,06,VI,,#NAME?,,,,,,,,"At this period House VI was entered from the north by a doorway, 3 ft. 8 ins. wide. The sill of another larger doorway in the southern wall was a few inches lower, and there was a comparatively narrow second entrance from the south to room 61.",83,refers to doorsill  but not in clear way re: level -- check earlier  narrative  about this space
Re-Facing Wall,07,"06, 07","VI, VII",,#NAME?,-15,Intermediate I OR Intermediate II,,,General Measure,,masonry one brick thick,"The southern and eastern faces of Houses VI and VII were re-faced with masonryonebrickthickastheyhadbecomeverymuchweathered. Itisdifficult to say whether this facing should be attributed to the Intermediate II or I Phase as it ""reached down to some 15 ft. below datum.",82,
Wall Aperture,07,07,VII,80,#NAME?,-12.9,Intermediate I,2400,2499,Exact Measure,,,"The drainage jar fed by a httle channel made of two roughly scooped-out bricks (PI. XXXVIII, d) was found in Fore Lane outside room 80 of House VII. The base of the aperture in the wall through which the channel passed was 12-9
ft. below datum.",82,
Niche,07,08,VIII,20,#NAME?,-13.3,Intermediate I,2400,2499,Exact Measure,"2 ft. 4 ins. wide by 1 ft. deep,",,"In the western wall of this room, which was some 14 ft. 8 ins. by 12 ft. in size, were three niches, 2 ft. 4 ins. wide by 1 ft. deep, with their floors 13-3 ft. below datum. ",82,
Pavement,07,08,VIII,20,#NAME?,-13.9,Intermediate I,2400,2499,Exact Measure,,,"The walls of part of House VIII of this period were remarkably thin and very roughly constructed. They might be taken for the remains of cattle-shelters, were it not for the two carefully laid pavements in the S. E. corner of room 20.^ (^Both were 13-9 ft. below datum.) ",82,
Doorsill,07,08,VIII,19,#NAME?,-20.5,Intermediate III,2600,2699,Probable,,,"The building to the north-east of B (near VIII) ajjpears to have been one of considerable importance, but it Avas so ruined that no features of interest sur- Auved except the well in room 19 which is one of the best jAreserA-ed in the DK Area. The top of its often raised steening (PI. XXXVII, g) is at the leA^el — 4-8 ft., and it has been cleared to a depth of 19 ft. 4 ins. beloAA’ that leA'el. The entrance to the well-room in the Intermediate III Phase could not be located, though one must obAdously have existed. A possible doorway has been indicated in the  
plan, but its position was only conjectiirally estimated from a somewhat proble- matical jamb in the much damaged wall. Its sill would probably have been 20-5 ft. below datum.",77-78,
Pavement,07,09,IX,37,#NAME?,-15.5,Intermediate II,2500,2599,Exact Measure,,,"The exact position of the doorways, however, and the levels of their sills remain uncertain, though some help towards the deter- mination of the latter is afforded by the little patch of pavement in passage 37 (IX), which lay 15-5 ft. below datum.",79,
Pavement,07,09,IX,,#NAME?,-8.5,Late II and I (b and a),2000,2299,Exact Measure,,,"The floor was unpaved and the highest part of the wall stood 5 ft. above the foundation level which was 8 · 5 ft. below datum. The two short parallel walls, 2 ft. 11 ins. apart, south of the kiln ·were possibly the foundations of a fnel-hole or flue. A shallow rectangular receptacle to the south-east of the kiln, 3 ft. 8 ins. long by 1 ft. 10 ins. wide, and paved with brick was lined ""ith bricks placed on edge and may have been a feeding-trough.1 (  8.1 ft. below datum. )",85,"""open space IX"" ""annex"""
Doorsill,07,00,,,#NAME?,-24.2,Early Period,,,Exact Measure,3 ft. 5 ins. wide,,"building (B) in the south-western corner of the block, to which we have already referred in the description of the deep digging done in this vicinity, was heightened and re-used in this period, though little remains to attest the fact. [...]

In the Intermediate III Phase the doorway, 3 ft. 5 ins. wide, of the Early Period was filled in by a flight of three steps, for which the original sill^ served as the lowest tread, the uppermost tread being 21*8 ft. below datum and at this level there was a pavement of burnt bricks, lL65x5-65x2-9 ins. in size. ",77,"""Building B"" -- needs evaluation for exact House-Room location -->  See original  map of Intermediae III  period in ""deep digging"" area for structure marked with ""B.""  
Also the lowest stair tread in stairway of 3 stairs. He notes one stair is at level of older, Early Period doorsill."
Doorsill,07,00,,19,#NAME?,-11.4,Intermediate I,2400,2499,Exact Measure,2 ft. 8 ins. wide,,"No trace of any paving of this period was found in the well-room 19; it may have been torn up and re-used at a later date. The doorway in the northern wall was 2 ft. 8 ins. wide and was found blocked up. Its sill was only 11 -4 ft. belowdatum,whichisratherhighfortheIntermediateIPhase. ",81,
Stair Tread,07,00,,19,#NAME?,-14.9,Intermediate I,2400,2499,Exact Measure (Lowest),larger one 6 ft. 3 ins. wide with treads averaging 10 ins. broad by 12 ins. high,,"At the northern entrance to room 19 were two stairways, of which the eastern and larger one was 6 ft. 3 ins. wide with treads averaging 10 ins. broad by 12 ins. high. The treads of the other stairway were very much the same size and the lowest step in each case 14-9 ft. below datum. Only the smaller stairway had any connection with the well-room ; the larger one was entirely cut off from it and may have led to an upper storey.",81,
Stair Tread,07,00,,"54, 63",#NAME?,-14.5,Intermediate I,2400,2499,Exact Measure (Lowest),2 ft. 10 ins. wide,,"Against the partition wall between rooms 54 and 63 was a stairway, 2 ft. 10 ins. wide, whose lowest step was 14-5 ft. below datum. It was so short, how- ever, that it could not have led very far, unless the space between it and the northern wall of the rooms was bridged m some way, leaving a doorway under the stairs.",82,
Doorsill,07,00,,56,#NAME?,-15.3,Intermediate II,2500,2599,Exact Measure,3 ft. 4 ins. wide,,"Nos. VI and VII were possibly also parts of one house at this period but
few of the doorw'ays remain to guide us as to their arrangement
. The entrance from Fore Lane into room 56 is the very usual 3 ft. 4 ins. wide, with its sill 15-3 ft. below datum, whereas the earlier sill was 3 ft. 6 ins. lower The wall at the back of rooms SO 57 a.Kl 80 is seen in PI. XXXVII. c. ami dates from this period only, as also the little flight of ste]® into room 59, whose lowest tread is 15 5 ft. below datum. This little room being at a somewhat higher level was probably the privy, as m the previous phase.",,
Doorsill,07,00,,"40, 41",#NAME?,-15.4,Intermediate II,2500,2599,Average,3 ft. 4 ins. wide ,,"The two doorways between rooms 40 and 41, 41 and 46 are each 3 ft. 4 ins. wide with their sills an average of 15-4 ft. below datum, and the narrow strip of pavement in room 46 is 1 ft. 4 ins. below the level of the adjoining- door-sill.",80,
Doorsill,07,00,,"41, 46",#NAME?,-15.4,Intermediate II,2500,2599,Average,3 ft. 4 ins. wide ,,"The two doorways between rooms 40 and 41, 41 and 46 are each 3 ft. 4 ins. wide with their sills an average of 15-4 ft. below datum, and the narrow strip of pavement in room 46 is 1 ft. 4 ins. below the level of the adjoinino- door-sill.",80,
Doorsill,07,00,,19,#NAME?,-17.2,Intermediate II,2500,2599,Relational Remark,,,"a pavement whose true surface was only preserved in the south-western corner of the room at the level 17-2 ft. below' datum, which corresponds w'ith the sill of the doorway in the northern wall. ",79,
Drain Below Stair,07,00,,28,#NAME?,-19.1,Intermediate II,2500,2599,Exact Measure,,,,79,See also separate infrastructure notes; entry here is to capture level relative to stair
Pavement,07,00,,19,#NAME?,-17.2,Intermediate II,2500,2599,Exact Measure,,,"The photograph of the well-chamber 19 in PL XXXVII, g, shows an apparent pavement with an undulating surface. This is in reality the foundations of a pavement whose true surface was only preserved in the south-western corner of the room at the level 17-2 ft. below' datum, which corresponds w'ith the sill of the doorway in the northern wall. Whether there was another doorway in the southern wall of the room it is impossible to say, owing to the destruction of this wallrightdowntothefoundationsoftheIntermediateIIIPhase. A doorway in the western wall of room 19 is of the same width as the northern door of the weU-room, but its sill is 10 ins. higher.",79,
Pavement,07,00,,46,#NAME?,-16.7,Intermediate II,2500,2599,Relational Remark (approx level),,,"The two doorways between rooms 40 and 41, 41 and 46 are each 3 ft. 4 ins. wide with their sills an average of 15-4 ft. below datum, and the narrow strip of pavement in room 46 is 1 ft. 4 ins. below the level of the adjoinino- door-sill.",80,
Pavement,07,00,,72,#NAME?,-16,Intermediate II,2500,2599,Exact Measure,,,"The patch of pavement in the south-eastern corner of room 72' was edged on the free sides, and seems likely to have been a cooking platform rather than one used for ablutions, for it had no privacy in a room 19 bv lb ft. in size with four doorways from other rooms.",,
Pavement,07,00,,"74, 75",#NAME?,-15.1,Intermediate II,2500,2599,General Measure,,," The well in chamber , 74, 75 whose internal diameter is 2 ft 6 ins reaches to a level of 8-3 ft. below datum.  A few surviving fragments at the level -15.1 ft. show that the well-room was paved in the Intermediate II Phase .",,
Stair Tread,07,00,,28,#NAME?,-17.3,Intermediate II,2500,2599,Exact Measure (Lowest),"9 ins. broad and 7 ins. high,",,"between Building (IX) and House II of Block 10, in the space marked 28 on the plan, was a staircase (PI. XXXIV, b) rising from the north where it was 4 ft. 8 ins. wide to 5 ft. 3 ins. wide at the south owing to the diverging of the walls. Six treads remained, each 9 ins. broad and 7 ins. high, the lowest at the level
— 17-3 ft. B",79,Text lists space 28 as between two Buildings/Houses/Units: Block 07 Unit 09 and Block 10 Unit 02
Stair Tread,07,00,,59,#NAME?,-15.5,Intermediate II,2500,2599,Exact Measure (Lowest),,,"the little flight of steps into room 59, whose lowest tread is 15 5 ft. below datum. This little room being at a somewhat higher level was probably the privy, as m the previous phase.",,
Doorsill,07,00,,"77, 81",#NAME?,-19.5,Intermediate III,2600,2699,Average,,,"The well-room (77, 81), 16 ft. long by 8 ft. wide, was entered from the north and south by two wide doorways whose sills average 19.5 ft. below datum. To the east of the well was a carefully laid pavement at the same level as the door-sills, but it had sunk badly in the centre. Shallow cavities in this pavement worn by the dumping of numberless water-jars show that this well-room was in frequent use throughout a lengthy period, and its separate entrance from the lane to the south suggests that the owner of the house freely allowed his neighbours access to his well. The spilt water drained away into Low Lane through a rec- tangular aperture in the eastern wall.",79,Text a little unclear as to house relation -- check map instead
Pavement,07,00,,,#NAME?,-21.8,Intermediate III,2600,2699,Exact Measure,11.65 x 5.65 x 2.9 ins.,burnt bricks,"at this level there was a pavement of burnt bricks, l L65x5-65x2-9 ins. in size. As there was a considerable vertical distance between this pavement and the foundations of the building, we removed a great deal of the former to be able to clear the room below which turned out to be 8 ft. wide, X.-S. Its length, how- ever, coiTld not be determined owing to the destruction of the eastern end of the building. ",77,
Pavement,07,00,,"77, 81",#NAME?,-19.5,Intermediate III,2600,2699,Average,,,"To the east of the well was a carefully laid pavement at the same level as the door-sills, ",79,Text a little unclear as to house relation -- check map instead
Pavement,07,00,,,#NAME?,-18,Intermediate III,2600,2699,General Measure,,,"The little patch of paving (79) at the level — 18 ft. is all that remains of either a bathing- place or a privy which, as so often at the present day, was built at a slightly higher level than the rest of the house to allow of proper drainage. ",79,
Stair Tread,07,00,,,#NAME?,-21.8,Intermediate III,2600,2699,Exact Measure,,,"In the Intermediate III Phase the doorway, 3 ft. 5 ins. wide, of the Early Period was filled in by a flight of three steps, for which the original sill^ served as the lowest tread, the uppermost tread being 21*8 ft. below datum and at this level there was a pavement of burnt bricks, lL65x5-65x2-9 ins. in size. ",77,Highest stair tread in stairway of 3 stairs.
Doorsill,07,00,,19,#NAME?,-16.4,Unclear Period in Text,,,Relational Remark (approx level),,,"A doorway in the western wall of room 19 is of the same width as the northern door of the wel-room, but its sill is 10 ins. higher.",80,
Foundation,07,02,II,,#NAME?,-16.7,,,,Relational Remark,,,"House II had again been destroyed down to its foundations which rested on earlier masonry of the Intermediate II Phase, and no doorways could be located. The arrangement of the rooms was practically unaltered. The southernwalloftheannexeIXwaswellpreserved; indeedtherestorationofthis building in the Intermediate II plan follows this alignment, for it seems likely that the lower part of the foundations of this wall which reaches down to the level 16-7 ft. below datum was really of that date. The doorway in this wall which stood an average of 3 ft. high was 3 ft. 4 ins. wide, but the bricks of the sill had disappeared.",81,Need to check (or have Uzma check) this paragraph to be certain interpretation is correct before completing this entry. Mackay talks about 2 periods and what may be 2 rooms here.
Doorsill,09,01,I,,#NAME?,-4.8,Late  II and I (b and a),2000,2299,Exact Measure,3 ft. 4 ins. wide,,"House I, which had grown considerably in size by encroachment on Fore Lane, was entered from the north by a doorway, 3 ft. 4 ins. wide, whose well pre- served jambs still stood 1 ft. 4 ins. above the sill.- ( The level of this door-sill was 4-8 ft. below datum.)",113,
Entrance,09,01,I,24,#NAME?,-5.6,Late Ia,2000,2099,Exact Measure,,,"In all probability court 21, 26, in which were two kilns, belonged to House II, for with the possible exception of the blocked-up doorway in room 24 of House I there was no entrance into the court from any other house.  (This door was bricked up in the Late la Phase; its. sill was at the level -.5-6 ft.)",102,
Doorsill,09,01,I,11,#NAME?,-6.9,Late II [?],2200,2299,Exact Measure,4 ft. 7 ins. wide,,"Room 11 at first communicated with room 10 by a door- way, 4 ft. 7 ins. wide, but this was bricked up in the Late Ib Period. (The sill was 6*9 ft. below datum.)",113,
Pavement,09,01,I,,#NAME?,-10.7,Late III,,,Exact Measure,,,The House I of this time was badly wrecked before being rebuilt and only a few walls and a pavement were left. This pavement is 10-7 ft. below datum and a pottery jar sunk in one corner served to drain it.,98,
Pavement,09,"01, 10, 12"," I, X and XII ","45, 47",#NAME?,-7.4,Late  II,2200,2299,Exact Measure,,,"Only at the south end of the corridor-like apartment 45, 47 does a pavement remain at the Late II level, — 7-4 ft. This may have been a washing place, as it slopes down to a jar set beneath its south-eastern corner. ",,
Pavement,09,"01, 10, 12"," I, X and XII ",24,#NAME?,-3.2,Late  II [?],2200,2299,Exact Measure,,carefully made of cut bricks,"Houses I, X and XII seem to have been aequired by a single owner, for theycommunicatethroughout. Indeed,theyappeartohavebeenconvertedinto a very fine building, which was probably inhabited by four or five interrelated families, as there are several of the paved floors that appear to denote a dwelling-
house. The one south of room 24 at the level - 3-2 ft. was carefully made of cut bricks.",100,need to determine exact house by looking up room (south of room)
Doorsill,09,"01, 10, 12"," I, X and XII ",45,#NAME?,-3.9,Late Ia,2000,2099,Exact Measure,,,"In the Late la Phase, section I of this house was clearly still
in use, for the door-sill into the well-room from the west was raised again to the
 level - 3.9 ft",,need to determine exact house by looking up room (south of room)
Pavement,09,"01, 10, 12"," I, X and XII ",,#NAME?,-6,Late Ib,,,Exact Measure,,carefully laid,"In the Late Ib Phase, the steening of this well was raised again to the level — 4-2 ft., and a very carefully laid pavement (PI. XLIII, f) round it at the level — 6 ft. bears ample testimony to the constant use of the well",,need to determine exact house by looking up room (south of room)
Pavement,09,"01, 10, 12"," I, X and XII ",45,#NAME?,-4.1,Late Ib,,,Exact Measure (Highest),,,"At this period, room 45 to the west of the well-room also communicated with it by a narrow doorway in a thin partition wall. The floor of this room was paved with bricks mostly set on edge (PI. XLIII, e) to form a washing-place which sloped down on three sides towards a square depression in the floor.^ (1 The highest part of the pavement was 4- 1 ft. below datum.)
This
depression was drained beneath the northern wall of the room, which unfortunately,
was entirely removed by brick-robbers at a later date, into a channel that ran
ultimately into the drain along the southern side of Central Street (PI. XIII, C).
This washing-room, for such it must have been, also communicated with the
vestibule 52 through which most of the living-rooms seem to have been reached
from the court.",,need to determine exact house by looking up room (south of room)
