,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
55,079-006-X,9,02,9,-12.2,Intermediate I,Animals,Model animal,"Bronze. Dog with collar round neck. Prick ears and upright tail. Short mastiff-like muzzle. Fore- and hid-legs cast together; but it may have been intended to separate them later by cutting. Well made, but very much corroded. ",Artefacts,,,,Domestic,"Bronze. Dog with collar round neck.<br>Prick ears and upright tail. Short<br>mastiff-like muzzle. Fore- and hid-legs cast<br>together; but it may have been<br>intended to separate them later by<br>cutting. Well made, but very much<br>corroded. "
56,109-060-X,4,00,8,-17.7,Intermediate III,Games And Toys,Whistle,"Very hard baked pottery; no slip. A somewhat roughly made, pear-shaped object with a small hole at the top and another in the side. Three of these whistles, all slightly different in size, were found together. ",Artefacts,,,,Domestic,"Very hard baked pottery; no slip.<br>A somewhat roughly made, pear-shaped object<br>with a small hole at the<br>top and another in the side.<br>Three of these whistles, all slightly<br>different in size, were found together.<br>"
57,079-008-X,9,08,18,-14.3,Intermediate II,Animals,Model animal,"Pottery; no slip. A hollow, round bodied anumal similar to No, 7 but with the ears practically perfect. The tail hangs, instead of being upright. ",Artefacts,,,,Domestic,"Pottery; no slip. A hollow, round<br>bodied anumal similar to No, 7<br>but with the ears practically perfect.<br>The tail hangs, instead of being<br>upright. "
60,079-011-X,9,03,35,-15.8,Intermediate II,Animals,Model animal,"Pottery; with a cream slip. Solid. Dog with heavy collar round neck. Short prick ears; apparently upright tail, now broken. ",Artefacts,,,,Domestic,"Pottery; with a cream slip. Solid.<br>Dog with heavy collar round neck.<br>Short prick ears; apparently upright tail,<br>now broken. "
61,109-061-X,4,00,8,-17.7,Intermediate III,Games And Toys,Whistle,"Very hard baked pottery; no slip. A somewhat roughly made, pear-shaped object with a small hole at the top and another in the side. Three of these whistles, all slightly different in size, were found together. ",Artefacts,,,,Domestic,"Very hard baked pottery; no slip.<br>A somewhat roughly made, pear-shaped object<br>with a small hole at the<br>top and another in the side.<br>Three of these whistles, all slightly<br>different in size, were found together.<br>"
62,136-094-X,4,00,8,-18.4,Intermediate III,Personal Ornament,Bracelet (stoneware),Fragment. Dark grey throughout.,Artefacts,,,,Domestic,Fragment. Dark grey throughout.
64,079-015-X,7,01,3,-33.3,Early Periods,Animals,Model animal,"Pottery, with a cream slip. Dog with short upright tail, and a very heavy collar. The ears, unfortunately, are broken, but they were eidently pricked. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. Dog<br>with short upright tail, and a<br>very heavy collar. The ears, unfortunately,<br>are broken, but they were eidently<br>pricked. "
65,079-016-X,7,09,29,-26.9,Early Periods,Animals,Model animal,"Pottery, with a cream slip. Humped bull, with fore- and hind-legs joined. A little incised work round the head. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. Humped<br>bull, with fore- and hind-legs joined.<br>A little incised work round the<br>head. "
66,080-022-X,7,01,3,-14.9,Intermediate II,Animals,Model animal,"Pottery, with a cream slip. Though the head of this bird is missing, the graceful carve of the neck and body, and the long broad tail and stout legs identify it with the peacock. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. Though<br>the head of this bird is<br>missing, the graceful carve of the<br>neck and body, and the long<br>broad tail and stout legs identify<br>it with the peacock. "
67,079-018-X,10,03,,-14.8,Intermediate II,Animals,Model animal,"Bronze. No. 20 is an enlarged illustration of this well modelled animal which, as far as can be judges, is a solid casting. That it represents a bull and not a bison is indicated by the carriage of the head. Rather roughly made; but probably it was intended to trim it up afterwards, which seems never to have been done, though corrosion may have removed the finer details. ",Artefacts,,,,Domestic,"Bronze. No. 20 is an enlarged<br>illustration of this well modelled animal<br>which, as far as can be<br>judges, is a solid casting. That<br>it represents a bull and not<br>a bison is indicated by the<br>carriage of the head. Rather roughly<br>made; but probably it was intended<br>to trim it up afterwards, which<br>seems never to have been done,<br>though corrosion may have removed the<br>finer details. "
69,079-020-X,10,03,,-14.8,Intermediate II,Animals,Model animal,see No.18 above. ,Artefacts,,,,Domestic,see No.18 above. 
70,109-051-X,4,00,8,-18.3,Intermediate III,Tools,Spindle-whorls(?),,Artefacts,,,,Craft,Not Available
73,079-024-X,7,02,93,-21.4,Early Periods,Animals,Model animal,"Steatite. Well-carved model of a bull, whose separately made horns and ears were fixed in sockets and may have been of another material. Other sockets served for the attachment of the sexual organs, and the tail which lay in a groove between the buttocks. A larger hole between the legs suggests that this figure was supported on a stand. The wrinkles and hair on head and neck, and the garland round the latter had been carefully owrked with a graver. The eyes may not have been inlaid as the sockets are very shallow. The figurine seems not to have been glazed, but merely coated with a white slip like that on teh seals. ",Artefacts,,,,Domestic,"Steatite. Well-carved model of a bull,<br>whose separately made horns and ears<br>were fixed in sockets and may<br>have been of another material. Other<br>sockets served for the attachment of<br>the sexual organs, and the tail<br>which lay in a groove between<br>the buttocks. A larger hole between<br>the legs suggests that this figure<br>was supported on a stand. The<br>wrinkles and hair on head and<br>neck, and the garland round the<br>latter had been carefully owrked with<br>a graver. The eyes may not<br>have been inlaid as the sockets<br>are very shallow. The figurine seems<br>not to have been glazed, but<br>merely coated with a white slip<br>like that on teh seals. "
75,079-026-X,7,09,29,-32.7,Early Periods,Animals,Model animal,Pottery; no slip. Carefully made model of a humped bull with inset eyes and united fore- and hind legs. ,Artefacts,,,,Domestic,Pottery; no slip. Carefully made model<br>of a humped bull with inset<br>eyes and united fore- and hind<br>legs. 
76,075-014-X,7,01,3,-29.9,Early Periods,Human Figure,Figurine,"Pottery; no slip. Torso of a woman clasping a baby to her breast which is hidden by a number of necklaces that are arranged in double rows-possibly to represent double strings of beads.- and have their ends brought to the front. These necklaces though apparently continued round the back of the figure are not so in reality. Roughly fashioned, especially the figure of the infant. ",Artefacts,,,,Domestic,"Pottery; no slip. Torso of a<br>woman clasping a baby to her<br>breast which is hidden by a<br>number of necklaces that are arranged<br>in double rows-possibly to represent double<br>strings of beads.- and have their<br>ends brought to the front. These<br>necklaces though apparently continued round the<br>back of the figure are not<br>so in reality. Roughly fashioned, especially<br>the figure of the infant. "
79,079-030-X,7,08,16,-24.1,Early Periods,Animals,Model animal,"Pottery; cream slip. Hollow model of a bull of very careful workmanship. Fashioned entirely by hand and with great stress laid on the various details which were cut with a graver before baking. Round the neck there is a twisted double bank, which may represent a garland of flowers or , more likely, a plaited rope. The horns and ears are unfortunately missing. The eyes are small round pellets inserted in cuts made in the caly before baking. A small hole beneath is probably only a vent for the escape of air during baking",Artefacts,,,,Domestic,"Pottery; cream slip. Hollow model of<br>a bull of very careful workmanship.<br>Fashioned entirely by hand and with<br>great stress laid on the various<br>details which were cut with a<br>graver before baking. Round the neck<br>there is a twisted double bank,<br>which may represent a garland of<br>flowers or , more likely, a<br>plaited rope. The horns and ears<br>are unfortunately missing. The eyes are<br>small round pellets inserted in cuts<br>made in the caly before baking.<br>A small hole beneath is probably<br>only a vent for the escape<br>of air during baking"
84,100-013-X,4,00,15,-18.3,Intermediate III,Personal Ornament,Pin-head ,"Steatite, with no trace of glaze, carved to represent two monkeys embracing one another, somewhat in the manner of another pin-head in the same material found in a previous season. ",Artefacts,,,,Domestic,"Steatite, with no trace of glaze,<br>carved to represent two monkeys embracing<br>one another, somewhat in the manner<br>of another pin-head in the same<br>material found in a previous season.<br>"
85,061-019-X,4,00,,-12.0,Intermediate I,Pottery - Plain and Banded,,,Artefacts,,,,Domestic,Not Available
94,109-008-X,4,00,,-19.8,Intermediate III,Tools,Awl,Bone. One end is missing. ,Artefacts,,,,Craft,Bone. One end is missing. 
98,109-058-X,7,01,3,-33.3,Early Periods,Tools,Spindle-whorls(?),Both top and base slightly concave. ,Artefacts,,,,Craft,Both top and base slightly concave.<br>
100,081-008-X,9,07,17,-14.4,Intermediate II,Animals,Model animal,"Pottery; red slip. A very similar animal to no. 14, but with a protruding adbomen and a large flat tial, whose tip is missing. Similar figures to these have been found in the later levels.",Artefacts,,,,Domestic,"Pottery; red slip. A very similar<br>animal to no. 14, but with<br>a protruding adbomen and a large<br>flat tial, whose tip is missing.<br>Similar figures to these have been<br>found in the later levels."
102,100-011-X,7,01,5,-16.9,Intermediate III,Personal Ornament,Hair-pin,Ivory. Greater part of pin missing. Incised lines decorate the head for which see the line drawing and appear once to have been filled in with black. ,Artefacts,,,,Domestic,Ivory. Greater part of pin missing.<br>Incised lines decorate the head for<br>which see the line drawing and<br>appear once to have been filled<br>in with black. 
104,109-038-X,7,01,9,-24.4,Early Periods,Tools,Whestones,Dark grey slate. The business end of this short hone is rounded.,Artefacts,,,,Craft,Dark grey slate. The business end<br>of this short hone is rounded.
106,080-024-X,7,04,49,-15.1,Intermediate II,Animals,Model animal,"Cream-coloured paste. Height of head only. Model head of a crested bird. No trace of glaze now remains, but brown stains here and there on the paste suggest that the glaze was originally green. ",Artefacts,,,,Domestic,"Cream-coloured paste. Height of head only.<br>Model head of a crested bird.<br>No trace of glaze now remains,<br>but brown stains here and there<br>on the paste suggest that the<br>glaze was originally green. "
108,080-020-X,7,03,40,-17.0,Intermediate III,Animals,Model animal,"Pottery, with ared slip. An amusing model fowl with a food dish in front of it. Though the head is missing, the tail is certainly that of a domestic fowl. The food-vessel is not unlike a type of vessel that is very common at Mohenjo-daro. Both bird and dish are fixed on a thin rectangular stand. This model is especially valuable, in that it it furnishes a proof that the fowl was domesticated at Mohenjo-daro; which after all is not surpisring, since the domestic fowl, now bred all over the world, is supposed to have orifinated in India. ",Artefacts,,,,Domestic,"Pottery, with ared slip. An amusing<br>model fowl with a food dish<br>in front of it. Though the<br>head is missing, the tail is<br>certainly that of a domestic fowl.<br>The food-vessel is not unlike a<br>type of vessel that is very<br>common at Mohenjo-daro. Both bird and<br>dish are fixed on a thin<br>rectangular stand. This model is especially<br>valuable, in that it it furnishes<br>a proof that the fowl was<br>domesticated at Mohenjo-daro; which after all<br>is not surpisring, since the domestic<br>fowl, now bred all over the<br>world, is supposed to have orifinated<br>in India. "
113,081-003-X,4,00,79,-21.3,Early Periods,Animals,Model animal,Pottery; no slip. Probably a bird's head on a neck which terminates below in a rounded base. ,Artefacts,,,,Domestic,Pottery; no slip. Probably a bird's<br>head on a neck which terminates<br>below in a rounded base. 
114,081-004-X,10,01,6,-29.7,Early Periods,Animals,Model animal,Pottery; no slip. Bird's head on a long neck which is flanged about half-way down. The projection below the flange has a hole pierced through it to take a string. Round pellet eyes. ,Artefacts,,,,Domestic,Pottery; no slip. Bird's head on<br>a long neck which is flanged<br>about half-way down. The projection below<br>the flange has a hole pierced<br>through it to take a string.<br>Round pellet eyes. 
115,079-013-X,7,03,44,-16.6,Intermediate III,Animals,Model animal,"Pottery, with a red wash. Hollow model of elephant; roughly fashioned but shows the charateristic spinal ridge. Models of this animal in clay are rare, and this is the first that we have found with the trunk intact. The figure was modelled with considerable fedelity; and though the eyes are over large, they are in the right position and appear very lifelike. ",Artefacts,,,,Domestic,"Pottery, with a red wash. Hollow<br>model of elephant; roughly fashioned but<br>shows the charateristic spinal ridge. Models<br>of this animal in clay are<br>rare, and this is the first<br>that we have found with the<br>trunk intact. The figure was modelled<br>with considerable fedelity; and though the<br>eyes are over large, they are<br>in the right position and appear<br>very lifelike. "
118,081-017-X,9,08,18,-14.6,Intermediate II,Animals,Model animal,"Pottery, with a cream slip. Similar figure to no. 13, but not so flat and better made. The holes for the axle are 0.29"" in diameter, and a smaller hole for a cord passes through the neck. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. Similar<br>figure to no. 13, but not<br>so flat and better made. The<br>holes for the axle are 0.29""<br>in diameter, and a smaller hole<br>for a cord passes through the<br>neck. "
119,081-018-X,9,02,11,-13.1,Intermediate II,Animals,Model animal,"Pottery, no slip. This may possibly represent a monkey, through the ears are over large. It seems to be perched on a board mounted on a pole. If this be so, it is possible that pet animals, whether monkeys or other creatures, were fastened to stands on which they lived with sufficient length of chain to allow of their visiting the ground. ",Artefacts,,,,Domestic,"Pottery, no slip. This may possibly<br>represent a monkey, through the ears<br>are over large. It seems to<br>be perched on a board mounted<br>on a pole. If this be<br>so, it is possible that pet<br>animals, whether monkeys or other creatures,<br>were fastened to stands on which<br>they lived with sufficient length of<br>chain to allow of their visiting<br>the ground. "
122,081-012-X,7,03,48,-14.8,Intermediate II,Animals,Model animal,"Pottery; no slip. This little object appears to be a gamesman, as it has a flat base on which to stand. The eyes and nose are the only features indicated. ",Artefacts,,,,Domestic,"Pottery; no slip. This little object<br>appears to be a gamesman, as<br>it has a flat base on<br>which to stand. The eyes and<br>nose are the only features indicated.<br>"
123,111-091-X,7,03,44,-18.3,Intermediate III,Cooking Baking Utensils,Shell-ladles,Seems to have been discarded unfinished owing to a fracture in the shell. ,Artefacts,,,,Domestic,Seems to have been discarded unfinished<br>owing to a fracture in the<br>shell. 
127,105-021-X,9,10,86,-7.8,Late III,Cooking Baking Utensils,Shell-ladles,"Well finished, with some slight evidence here and there of polish.",Artefacts,,,,Domestic,"Well finished, with some slight evidence<br>here and there of polish."
128,105-026-X,9,06,36,-5.6,Late II,Cooking Baking Utensils,Shell-ladles,Well made and finished but somewhat weathered. ,Artefacts,,,,Domestic,Well made and finished but somewhat<br>weathered. 
129,081-019-X,7,03,44,-12.3,Intermediate I,Animals,Model animal,"Pottery, with traces of a red slip. Very roughly modelled monkey(?), climbing a pole or tree which was formerly affixed upon a stand. ",Artefacts,,,,Domestic,"Pottery, with traces of a red<br>slip. Very roughly modelled monkey(?), climbing<br>a pole or tree which was<br>formerly affixed upon a stand. "
130,081-035-X,7,08,20,-13.4,Intermediate II,Animals,Model animal,"Made of Alabaster. The point of this horn is missing and in the middle of the square cut, broad end there is a hole. There can be no doubt, I think, that this object was one of the horns of a large statue of a bull; horns were frequently fitted on models of bulls of even small size. ",Artefacts,,,,Domestic,"Made of Alabaster. The point of<br>this horn is missing and in<br>the middle of the square cut,<br>broad end there is a hole.<br>There can be no doubt, I<br>think, that this object was one<br>of the horns of a large<br>statue of a bull; horns were<br>frequently fitted on models of bulls<br>of even small size. "
132,112-010-X,7,00,,-36.6,Early Periods,Animals,Model animal,"Pottery, with a cream slip. A humpless bull with round, inlaid pellets to represent theeyes. Horns and three of the legs are missing. Wrinkles round neck and back incised with a sharp pointed instrument. Apparently solid, and somewhat roughly made. Traces of fine mica and lime in the clay, the lime in particles of appreciable size. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. A<br>humpless bull with round, inlaid pellets<br>to represent theeyes. Horns and three<br>of the legs are missing. Wrinkles<br>round neck and back incised with<br>a sharp pointed instrument. Apparently solid,<br>and somewhat roughly made. Traces of<br>fine mica and lime in the<br>clay, the lime in particles of<br>appreciable size. "
133,112-011-X,7,00,,-42.1,Early Periods,Animals,Model animal,"Pottery, with a cream slip. Humped bull with round, inlaid pellets for eyes. Horns missing. Fore- and hind-legs joined in pairs; slightly damaged. Wrinkles on hump and lower part of head incised with a pointed instrumetn. Fine red clay tempered with mica and lime. Solid and not particularly carefully made. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. Humped<br>bull with round, inlaid pellets for<br>eyes. Horns missing. Fore- and hind-legs<br>joined in pairs; slightly damaged. Wrinkles<br>on hump and lower part of<br>head incised with a pointed instrumetn.<br>Fine red clay tempered with mica<br>and lime. Solid and not particularly<br>carefully made. "
134,105-009-X,9,01,47,-4.3,Late Ib,Cooking Baking Utensils,Shell Dish,"Dish-like shell vessel, was cut from abother species of shell. This dish was carefully rubbed down but not polished. This dish well made though somewaht irregular in shape, was carefully rubbed down but not polished. Several places were perforated by well drilled holes. These holes may have been plugged with fillings that have dopped out or decayed in the course of time. ",Artefacts,,,,Domestic,"Dish-like shell vessel, was cut from<br>abother species of shell. This dish<br>was carefully rubbed down but not<br>polished. This dish well made though<br>somewaht irregular in shape, was carefully<br>rubbed down but not polished. Several<br>places were perforated by well drilled<br>holes. These holes may have been<br>plugged with fillings that have dopped<br>out or decayed in the course<br>of time. "
135,104-019-X,9,01,48,-11.1,Intermediate I,Cooking Baking Utensils,Gutter ,"Light red pottery; no slip. Two well made gutters, with taspering channels. Four slight cuts across one side of one of these gutters evidently served for identification. ",Artefacts,,,,Domestic,"Light red pottery; no slip. Two<br>well made gutters, with taspering channels.<br>Four slight cuts across one side<br>of one of these gutters evidently<br>served for identification. "
138,079-012-X,7,03,46,-16.7,Intermediate III,Animals,Model animal,"Pottery; no slip. Spirited figure of dog wearing a stout collar. Short upright tail and broad prick ears. Nostrils and anus indicated, but no other organs. Very rough workmanship. ",Artefacts,,,,Domestic,"Pottery; no slip. Spirited figure of<br>dog wearing a stout collar. Short<br>upright tail and broad prick ears.<br>Nostrils and anus indicated, but no<br>other organs. Very rough workmanship. "
139,080-026-X,7,03,46,-16.5,Intermediate III,Animals,Model animal,"Drab-coloured pottery. Model of a singing bird; carefully made, but now somewhat discoloured by smoke. It seems likely in view of this model that song-birds were kept in captivity, and it is unfortunate that we have only the head and part of the body, so that it is impossible to identify it. ",Artefacts,,,,Domestic,"Drab-coloured pottery. Model of a singing<br>bird; carefully made, but now somewhat<br>discoloured by smoke. It seems likely<br>in view of this model that<br>song-birds were kept in captivity, and<br>it is unfortunate that we have<br>only the head and part of<br>the body, so that it is<br>impossible to identify it. "
142,108-029-X,9,06,79,-20.4,[check data],Cooking Baking Utensils,Gutter,"Pottery. Somewhawt roughly made, but none teh less efficient.",Artefacts,,,,Domestic,"Pottery. Somewhawt roughly made, but none<br>teh less efficient."
143,104-011-X,9,06,79,-8.4,Late III,Cooking Baking Utensils,Triangular Plaque,Drab-coloured pottery; no slip. Roughly made and indifferently baked. ,Artefacts,,,,Domestic,Drab-coloured pottery; no slip. Roughly made<br>and indifferently baked. 
144,142-007-X,7,03,51,-16.2,Intermediate III,Personal Ornament,Bracelet (stoneware),Fragment. Dark grey throughout.,Artefacts,,,,Domestic,Fragment. Dark grey throughout.
